Card Name,Lowest Price,Set,URL
agatha's soul cauldron,68.1,WILDS OF ELDRAINE,https://fusiongamingonline.com/search?page=1&q=%2Aagatha%27s%20soul%20cauldron%2A
altar of dementia,19.99,Modern Horizons,https://www.facetofacegames.com/search/?keyword=altar%20of%20dementia&sort=priceasc&pg=1&child_inventory_level=1&general%20brand=Magic%3A%20The%20Gathering
altar of the brood,22.99,Khans of Tarkir,https://www.facetofacegames.com/search/?keyword=altar%20of%20the%20brood&sort=priceasc&pg=1&child_inventory_level=1&general%20brand=Magic%3A%20The%20Gathering
